Gyro (deg)X;Gyro (deg)Y;Gyro (deg)Z;;;;;;;;;;;;;;
0,14;-0,6;-15,41;;;;;;;;;;;;;;
14,5;-1,65;-15,74;;;;;;;;;;;;;;
1,95;0,11;-4,5;;;;;;;;;;;;;;
-10,18;3,13;5,31;;;;;;;;;;;;;;
-12,97;3,89;2,45;;;;;;;;;;;;;;
12,85;-7,95;-5,18;;;;;;;;;;;;;;
-8,92;12,66;-3,23;;;;;;;;;;;;;;
6,59;7,18;4,01;;;;;;;;;;;;;;
9,43;-5,15;4,43;;;;;;;;;;;;;;
-4,45;-0,18;4,38;;;;;;;;;;;;;;
0,64;-4,64;-2,15;;;;;;;;;;;;;;
-1,58;2,22;-5,35;;;;;;;;;;;;;;
-2,52;4,18;-4,39;;;;;;;;;;;;;;
0,34;3;-2,79;;;;;;;;;;;;;;
-4,15;3,2;4,92;;;;;;;;;;;;;;
5,96;-5,45;2,85;;;;;;;;;;;;;;
2,08;-1,93;1,25;;;;;;;;;;;;;;
3,89;-1,01;6,79;;;;;;;;;;;;;;
4,92;-1,53;-7,47;;;;;;;;;;;;;;
-1,49;2,41;-6,64;;;;;;;;;;;;;;
3,32;1,72;-8,15;;;;;;;;;;;;;;
-3,37;1,66;-5,34;;;;;;;;;;;;;;
4,06;-1,97;-0,66;;;;;;;;;;;;;;
4,06;1,88;-3,8;;;;;;;;;;;;;;
-6,92;7,17;-5,5;;;;;;;;;;;;;;
3,36;-0,31;-7,75;;;;;;;;;;;;;;
-11,27;4,63;0,94;;;;;;;;;;;;;;
0,84;-1,24;3,6;;;;;;;;;;;;;;
-6,5;1,68;9,46;;;;;;;;;;;;;;
1,37;-0,45;4,15;;;;;;;;;;;;;;
-1,92;-2,14;1,59;;;;;;;;;;;;;;
1,02;-0,24;-0,06;;;;;;;;;;;;;;
-4,69;-0,47;-1,68;;;;;;;;;;;;;;
-1,11;1,34;1,18;;;;;;;;;;;;;;
3,22;1,59;0,68;;;;;;;;;;;;;;
-3,94;2,63;6,78;;;;;;;;;;;;;;
0,66;0,18;4,08;;;;;;;;;;;;;;
-0,78;-4,73;-2,12;;;;;;;;;;;;;;
-3,3;1,53;0,11;;;;;;;;;;;;;;
5,63;-0,22;-1,22;;;;;;;;;;;;;;
-3,71;2,54;1,87;;;;;;;;;;;;;;
1,08;-0,44;-0,05;;;;;;;;;;;;;;
0,89;-6,08;1,33;;;;;;;;;;;;;;
-2,55;-0,1;8,55;;;;;;;;;;;;;;
5,92;-1,06;1,31;;;;;;;;;;;;;;
-10,23;14,5;-9,24;;;;;;;;;;;;;;
20,59;28,01;-8,52;;;;;;;;;;;;;;
3,96;-0,76;3,77;;;;;;;;;;;;;;
-9,51;-1,41;18,23;;;;;;;;;;;;;;
6,31;-16,24;10,63;;;;;;;;;;;;;;
-46,66;10,48;16,6;;;;;;;;;;;;;;
18,1;-13,87;-9,55;;;;;;;;;;;;;;
3,24;-15,66;-14,6;;;;;;;;;;;;;;
-1,76;1,42;-1,27;;;;;;;;;;;;;;
2,03;4,9;1,67;;;;;;;;;;;;;;
-5,4;2,11;-0,05;;;;;;;;;;;;;;
15,05;23,83;2,05;;;;;;;;;;;;;;
4,37;-2,08;-9,53;;;;;;;;;;;;;;
0,71;-8,95;-0,07;;;;;;;;;;;;;;
-7,03;6,47;17,44;;;;;;;;;;;;;;
2,24;1,95;17,96;;;;;;;;;;;;;;
5,39;-16,54;-2,82;;;;;;;;;;;;;;
4,8;-10,89;-10,89;;;;;;;;;;;;;;
8,92;4,82;-19,02;;;;;;;;;;;;;;
-16,11;44,37;-7,84;;;;;;;;;;;;;;
2,25;55,56;3,27;;;;;;;;;;;;;;
5,04;-17,64;14,71;;;;;;;;;;;;;;
-15,32;-23,77;3,6;;;;;;;;;;;;;;
11,82;9,44;-8,84;;;;;;;;;;;;;;
1,75;19,91;-1,89;;;;;;;;;;;;;;
-0,88;4,15;-1,69;;;;;;;;;;;;;;
9,85;-2,12;-8,56;;;;;;;;;;;;;;
-6,09;-4,98;-3,38;;;;;;;;;;;;;;
1,38;-8,04;-11,56;;;;;;;;;;;;;;
-8,29;-2,24;-9,54;;;;;;;;;;;;;;
-4,19;0,93;-9,59;;;;;;;;;;;;;;
